Id cell	CL:4052048
Island of Calleja granule cell	CL:4030053
JG cell	CL:0000648
K cell	CL:4023187
KA cell	CL:0005007
KA interneuron	CL:0005007
KA neuron	CL:0005007
KNDy neuron	CL:4023125
Kenyon cell	CL:0000673
Kolmer-Agduhr cell	CL:0005007
Kolmer-Agduhr neuron	CL:0005007
Kolmer’s cell	CL:4042004
Kulchitsky cell	CL:0000577
Kultschitzky cell of bronchiole	CL:0002066
L2 IT	CL:4030060
L2 intratelencephalic projecting glutamatergic neuron	CL:4030060
L2 marginal neuron	CL:4042012
L2/3 IT	CL:4030059
L2/3 IT M1	CL:4023047
L2/3 IT MOp	CL:4023047
L2/3 bipolar VIP GABAergic interneuron (Mmus)	CL:4023007
L2/3 bipolar Vip (Mus musculus)	CL:4023007
L2/3 intratelencephalic projecting glutamatergic neuron	CL:4030059
L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023047
L2/3-6 IT projecting neuron	CL:4023040
L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2/3/5 fan Martinotti SST (Mus musculus)	CL:4023030
L2/3/5 fan Martinotti sst GABAergic interneuron (Mmus)	CL:4023030
L2MN	CL:4042012
L3 IT	CL:4030061
L3 intratelencephalic projecting glutamatergic neuron	CL:4030061
L4 IT	CL:4030063
L4 SST (Mus musculus)	CL:4023031
L4 intratelencephalic projecting glutamatergic neuron	CL:4030063
L4 sst Martinotti interneuron (Mmus)	CL:4023031
L4/5 IT	CL:4030062
L4/5 IT M1	CL:4023048
L4/5 IT MOp	CL:4023048
L4/5 intratelencephalic projecting glutamatergic neuron	CL:4030062
L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023048
L5 IT	CL:4030064
L5 IT M1	CL:4023049
L5 IT MOp	CL:4023049
L5 T Martinotti SST (Mus musculus)	CL:4023027
L5 VIP (Mus musculus)	CL:4023014
L5 VIP GABAergic interneuron (Mmus)	CL:4023014
L5 extratelencephalic projecting glutamatergic cortical neuron	CL:4023041
L5 intratelencephalic projecting glutamatergic neuron	CL:4030064
L5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023049
L5 non-Martinotti SST (Mus musculus)	CL:4023028
L5 non-Martinotti sst GABAergic interneuron (Mmus)	CL:4023028
L5 sst T-Martinotti interneuron (Mmus)	CL:4023027
L5,6 NGC Lamp5 (Mus musculus)	CL:4023023
L5,6 neurogliaform lamp5 GABAergic interneuron (Mmus)	CL:4023023
L5/6 CCK (Mus musculus)	CL:4023071
L5/6 CCK Vip (Mus musculus)	CL:4023019
L5/6 NP	CL:4030067
L5/6 NP M1	CL:4023043
L5/6 NP MOp	CL:4023043
L5/6 cck GABAergic interneuron (Mmus)	CL:4023071
L5/6 cck, VIP GABAergic interneuron (Mmus)	CL:4023019
L5/6 near-projecting glutamatergic neuron	CL:4030067
L5/6 near-projecting glutamatergic neuron of the primary motor cortex	CL:4023043
L5/6 non-Martinotti SST (Mus musculus)	CL:4023118
L5/6 non-Martinotti morphology sst expressing GABAergic cortical interneuron (Mus musculus)	CL:4023118
L5/6 non-Martinotti sst GABAergic interneuron (Mmus)	CL:4023118
L5b neuron	CL:4023041
L6 CT	CL:4023042
L6 IT	CL:4030065
L6 IT Car3	CL:4030068
L6 IT Car3 glutamatergic neuron	CL:4030068
L6 IT Car3 neuron	CL:4030068
L6 IT M1	CL:4023050
L6 IT MOp	CL:4023050
L6 Th+ SST (Mus musculus)	CL:4023075
L6 corticothalamic-projecting glutamatergic cortical neuron	CL:4023042
L6 intratelencephalic projecting Car3 glutamatergic neuron	CL:4030068
L6 intratelencephalic projecting glutamatergic neuron	CL:4030065
L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	CL:4023050
L6 th sst GABAergic interneuron (Mmus)	CL:4023075
L6 tyrosine hydroxylase positive sst expressing GABAergic cortical interneuron (Mus musculus)	CL:4023075
L6-IT-Car3	CL:4030068
L6-IT-Car3 cell	CL:4030068
L6b glutamatergic cortical neuron	CL:4023038
L6b glutamatergic neuron of the primary motor cortex	CL:4023046
